Nimi	Seura	PP	+-	YV	AV	HPA	PPA	Aika	YVA	YV2A	AVA	AV2A
Lindsten, Jasper	TPS	VH	29	3	0	215	189	948	6887	264	42	0
Makela, Aleksi	Assat	OP	22	0	0	140	169	883	180	0	4883	28
Puustinen, Juuso	JYP	OH	45	13	0	309	256	951	8539	573	519	0
Karvinen, Otto	Karpat	OH	15	0	0	131	120	742	900	0	1529	0
Koivisto, Juha	Karpat	KH	6	0	0	93	95	641	49	0	512	0
Liivik, Siim	KooKoo	KH	19	1	0	242	237	1088	7790	344	4082	122
Leskinen, Ville	Karpat	OH	15	5	0	271	206	952	8689	203	200	0
Jarvinen, Matti	Tappara	KH	31	3	0	239	271	1003	7178	207	168	0
Maalahti, Kalle	SaiPa	VP	34	3	0	373	423	1264	7309	201	9670	254
Rauhala, Otto	Tappara	VH	43	0	1	295	314	906	685	0	7038	0
Keskitalo, Miro	KooKoo	VP	18	1	0	272	247	1151	5168	98	4833	0
Kanninen, Henri	JYP	KH	19	4	0	376	293	1076	10198	93	4206	0
Flinck, Markku	Jukurit	KH	19	0	0	190	148	1024	6136	272	553	0
Alanne, Joonas	Pelicans	VH	17	1	0	240	210	655	1001	0	2852	0
Bjorninen, Hannes	Pelicans	KH	23	2	0	244	171	990	2401	0	5361	278
Kangasniemi, Iikka	Pelicans	OH	31	4	1	39	31	756	113	0	278	0
Korkko, Tomi	Sport	VH	21	0	0	266	287	857	2585	4	7511	0
Parikka, Jarkko	Ilves	VP	26	1	0	299	276	1053	1248	0	4155	64
Manninen, Oskari	Sport	VP	15	0	0	153	167	1232	564	0	3025	47
Repo, Sebastian	Tappara	OH	24	6	0	250	255	990	8614	95	71	0
Makinen, Atte	Lukko	VP	17	0	0	205	338	825	249	0	3184	15
Suomi, Eemeli	Ilves	VH	29	9	0	336	233	1068	11548	408	3779	78
Vahatalo, Julius	Jukurit	KH	19	2	0	247	303	739	2838	116	3674	92
Hietanen, Valtteri	Jukurit	OP	20	0	0	245	377	1153	476	15	9257	43
Meskanen, Ville	Ilves	OH	34	9	0	276	198	1027	10204	438	81	0
Rekonen, Aleksi	Pelicans	OH	32	1	0	381	269	857	6382	64	1821	0
Vartiainen, Taavi	Pelicans	VH	20	0	1	234	211	698	2913	0	5668	54
Palve, Oula	TPS	KH	29	3	1	288	269	1097	11507	232	3998	10
Savilahti, Eero	KooKoo	VH	4	3	0	72	67	698	1232	39	70	0
Heiskanen, Miro	HIFK	VP	29	1	1	231	178	1506	4690	29	5276	71
Lappalainen, Lasse	SaiPa	VP	33	3	0	340	394	1145	10351	312	2356	0
Tommila, Juho	Assat	OP	34	0	0	227	273	1070	1595	0	4205	30
Leskinen, Otto	KalPa	OP	27	1	0	290	221	969	3498	7	2217	0
Immonen, Jarkko	JYP	KH	40	4	0	288	285	1167	9818	280	6941	268
Mieho, Panu	HIFK	KH	7	0	0	139	100	700	1395	0	377	13
Hotakainen, Valtteri	Jukurit	KH	7	0	0	6	3	338	0	0	0	0
Lindgren, Jesper	HPK	OP	24	0	0	231	254	1214	6302	57	6492	143
Vainio, Olli	Ilves	OP	43	0	0	390	322	1172	3181	0	5604	141
Vainiola, Ville-Vesa	KalPa	KH	25	0	0	202	262	874	1150	0	10345	267
Motin, Johan	Lukko	OP	39	1	0	397	407	1324	4567	0	8831	412
Ritamaki, Janne	Jukurit	VH	25	1	1	200	282	905	2089	46	5839	127
Pitkanen, Miikka	KooKoo	KH	31	1	0	308	314	1007	8033	213	486	0
Kunyk, Cody	SaiPa	KH	34	4	0	297	332	1148	8807	161	4447	75
Kristensen, Emil	KooKoo	OP	32	4	0	333	318	1345	8954	427	5958	67
Koivula, Otto	Ilves	VH	27	3	0	234	221	939	7491	110	55	0
Rouhiainen, Jere	Tappara	VP	2	0	0	72	60	404	57	0	522	0
Jaatinen, Antti	Jukurit	OP	26	0	0	326	455	1271	3809	89	10584	234
Lamberg, Matti	Assat	OH	8	0	0	95	120	544	95	0	39	0
Antonen, Joose	Lukko	OH	6	1	0	132	141	518	2048	0	72	0
Laine, Mikko	Sport	OH	18	0	0	181	219	564	490	0	2010	0
Siiki, Oskari	TPS	OH	9	2	0	111	112	671	2062	0	1	0
Turkulainen, Jerry	JYP	OH	40	5	0	325	263	914	7371	69	52	0
Kiviranta, Joel	Sport	OH	38	1	1	297	348	1078	7071	502	7368	4
Claireaux, Valentin	Lukko	OH	14	0	0	303	262	1137	9201	151	6056	55
Leivo, Tomi	KooKoo	VH	22	1	0	254	266	866	2826	25	6222	52
Virtanen, Mikko	KooKoo	KH	15	0	0	234	264	939	2668	7	7482	279
Nattinen, Topi	SaiPa	KH	30	4	0	334	367	1092	11103	314	4156	5
Nuutinen, Mikko	KalPa	OH	25	5	1	270	271	941	6332	174	4939	0
Sneck, Jere	SaiPa	OP	19	0	0	228	261	766	212	0	2117	23
Tanus, Jonatan	SaiPa	VH	34	4	0	301	358	992	9660	251	2007	2
Kivihalme, Teemu	Karpat	VP	32	1	0	242	244	1077	5561	3	2640	0
Vuorisalo, Teemu	Assat	OP	12	0	0	145	120	788	1653	66	755	0
Koivisto, Kimi	Pelicans	VH	14	1	0	300	230	728	3524	0	302	0
Tuomisto, Tomi	Sport	KH	2	0	0	35	18	508	134	0	25	0
Salmi, Juuso	HIFK	VP	24	0	0	262	243	898	231	0	5982	66
Kestila, Aku	Pelicans	KH	7	3	0	124	118	736	2126	26	216	0
Haapala, Henrik	Tappara	VH	3	1	0	146	111	612	1776	42	145	0
Karjalainen, Miro	HPK	OP	12	1	0	151	181	769	125	0	2713	0
Karvonen, Elias	TPS	KH	14	0	0	114	106	900	163	0	3776	0
Gymer, Frank	KalPa	VH	9	0	0	303	316	896	6926	158	3066	0
Tuohilampi, Kristian	Assat	VP	15	0	0	181	249	704	166	0	5860	8
Sevanen, Roni	Lukko	OP	20	0	0	206	249	889	1641	37	2925	0
Tuhkanen, Niko	KooKoo	VP	33	0	0	334	321	1035	1832	7	4958	83
Turtiainen, Jaakko	HPK	VH	10	0	0	173	250	716	527	0	6301	41
Ronkainen, Taneli	Karpat	VP	22	0	0	196	212	850	271	0	1569	0
Koivistoinen, Eetu	Lukko	VH	16	1	0	197	218	586	725	0	39	0
Niemelainen, Markus	HPK	VP	7	0	0	171	268	827	90	0	3325	74
Nevalainen, Niklas	Sport	OP	28	0	0	343	342	1010	3175	58	3932	80
Suuronen, Toni	Lukko	VH	11	0	0	199	259	715	333	0	4535	97
Jokinen, Jaakko	JYP	OP	30	0	0	304	242	951	295	0	6711	48
Roine, Miika	Jukurit	OH	29	3	0	267	405	1191	9641	508	10563	283
Mutanen, Sami	KalPa	OH	12	0	0	129	162	714	260	0	6667	53
Turunen, Teemu	HPK	OH	35	10	0	323	279	1057	9686	207	5417	0
Jarvinen, Ville	KooKoo	VP	17	0	0	166	230	754	166	0	2882	0
Rooba, Robert	JYP	OH	15	3	0	287	257	804	6241	122	386	0
Lahde, Nestori	Jukurit	VH	1	0	0	22	39	523	12	0	0	0
Tuulola, Eetu	HPK	OH	21	9	0	239	249	1001	10204	134	156	0
Saha, Mikael	Assat	OH	12	0	0	93	162	628	178	0	740	0
Vainikainen, Ville	KooKoo	VH	10	0	0	193	216	861	655	94	6372	169
Elimaki, Roope	Pelicans	KH	17	1	0	223	173	966	2763	128	1027	0
Oksanen, Ahti	SaiPa	OH	27	3	2	290	302	948	5350	77	4492	0
Levtchi, Anton	Tappara	OH	2	0	0	62	53	499	5	0	5	0
Texier, Alexandre	KalPa	VH	25	2	0	236	177	803	6326	69	67	0
Henritius, Teemu	Jukurit	KH	21	3	0	82	82	638	465	0	1439	37
Tikka, Tommi	Sport	KH	26	0	0	297	289	1020	6277	44	8069	87
Saari, Micke	JYP	KH	12	0	0	179	153	661	402	0	2611	0
Palmu, Petrus	TPS	VH	36	6	0	334	269	944	8663	197	17	0
Rukajarvi, Roni	Pelicans	VP	5	0	0	97	84	741	650	0	1067	0
Nieminen, Otto	TPS	VH	10	0	0	165	169	659	399	0	449	0
Berger, Martin	TPS	VP	30	0	0	192	189	722	425	0	3297	16
Varttinen, Matias	Assat	OH	7	0	0	114	150	662	172	0	321	0
Friberg, Jere	Lukko	KH	15	1	1	222	265	772	5326	226	1176	0
Piipponen, Samuli	Jukurit	OP	28	0	0	379	474	1235	1569	0	10090	147
Vayrynen, Janne	Lukko	OH	3	0	0	32	26	466	82	0	0	0
Walli, Juuso	Assat	VP	5	0	0	51	90	507	48	0	1258	0
Poysti, Eetu	KooKoo	OH	9	0	0	90	109	608	927	0	676	0
Koppanen, Joona	Ilves	KH	24	0	0	195	165	768	148	0	4573	248
Valtonen, Julius	Ilves	OH	8	1	0	169	134	608	1559	23	1301	0
Jaaska, Juha	HIFK	KH	11	1	0	278	267	877	7144	74	2410	0
Kalliola, Joonas	Jukurit	VH	17	2	1	371	294	1151	13143	359	3221	0
Insam, Marco	Assat	KH	24	2	0	168	225	763	3524	40	858	0
Anttila, Sami	Karpat	VH	11	0	0	142	127	672	237	0	1063	0
Goodwin, David	SaiPa	VH	28	4	0	209	253	688	1001	0	4356	58
Nenonen, Markus	Tappara	VH	29	5	0	285	242	913	9874	373	209	0
Rowley, Jordan	Pelicans	VP	28	0	0	344	273	1157	3079	0	5375	47
Luostarinen, Eetu	KalPa	KH	18	2	0	303	215	980	8442	208	1908	0
Tamminen, Juhani	Ilves	KH	18	2	0	207	152	858	7333	33	2028	36
Karalahti, Keni	Jukurit	OP	24	0	0	233	283	864	218	0	957	0
Appelgren, Niklas	Assat	KH	16	0	0	163	148	664	2370	5	418	0
Liuksiala, Juho	Ilves	OH	19	0	0	254	219	754	2035	97	219	0
Hyvarinen, Ville	Jukurit	VP	24	0	1	236	363	897	12	0	9409	59
Paukku, Jesse	Sport	VH	11	1	0	127	128	717	1442	0	1579	0
Vayrynen, Teemu	TPS	VH	24	0	2	276	263	868	290	0	9154	131
Saarinen, Jesse	Pelicans	VH	31	3	0	269	207	970	9438	207	277	14
Salonen, Aleksi	Tappara	OP	35	0	0	288	294	818	161	0	4200	0
Niemela, Joonas	Lukko	VH	0	0	0	3	8	695	0	0	0	0
Pelli, Arttu	KooKoo	OP	24	1	0	316	350	1053	3938	161	4904	0
Kaski, Oliwer	HIFK	OP	25	6	0	361	226	1036	5014	0	567	13
Ruokonen, Miro	HPK	VH	8	0	1	146	164	633	45	0	2786	5
Seppala, Mikael	KalPa	VP	32	0	0	383	311	1145	818	0	7723	62
Ikonen, Joni	KalPa	KH	18	1	0	168	202	689	1591	26	963	0
Almari, Niclas	HPK	VP	23	0	0	187	215	911	1535	0	3626	33
Hyvarinen, Toni	KooKoo	OH	18	2	0	322	283	1107	10055	686	10878	452
Heikkinen, Arttu	Pelicans	VH	4	1	0	109	111	850	1692	0	103	0
Leskinen, Ville	Jukurit	OH	41	4	0	225	246	690	7100	514	58	0
Kojo, Markus	SaiPa	VP	9	0	0	140	176	749	101	0	2155	37
Likola, Arttu	SaiPa	VH	5	0	0	88	75	633	293	0	1428	0
Innala, Jere	HPK	VH	15	0	0	356	353	1095	10649	743	2735	78
Suhonen, Teemu	Jukurit	VP	39	5	0	472	516	1490	15224	1044	4528	0
Ilomaki, Valtteri	Ilves	OP	1	0	0	24	21	219	0	0	211	0
Laavainen, Roope	HPK	OP	11	0	0	147	160	689	614	32	2241	0
Kainulainen, Harri	HPK	KH	8	0	0	112	111	642	309	0	929	0
Koponen, Santeri	SaiPa	VP	1	0	0	4	4	192	0	0	0	0
Krivosik, Filip	HPK	OH	1	0	0	20	22	613	300	0	1	0
Iso-Mustajarvi, Tomi	SaiPa	KH	0	0	0	209	309	852	5584	103	2605	0
Reunanen, Tarmo	Lukko	VP	9	0	0	110	120	596	452	0	710	0
Kupari, Rasmus	Karpat	KH	17	2	0	165	149	725	2253	125	6	0
Radke, Roy	SaiPa	OH	15	2	0	239	265	884	4188	165	2133	0
Huhtanen, Tuomas	Assat	VH	3	0	0	162	200	533	256	0	1714	0
Saukko, Ville	Sport	OP	19	0	0	199	281	915	401	0	5192	0
Nurmi, Markus	TPS	OH	27	0	0	245	244	873	317	0	5312	0
Ikonen, Ossi	JYP	VP	29	0	0	385	280	911	660	0	5022	5
Kotkaniemi, Jesperi	Assat	KH	32	2	0	296	306	935	6121	0	137	0
Tamminen, Sami	KooKoo	KH	10	0	0	104	128	642	1823	0	88	44
Makela, Aleksi	Karpat	VP	8	0	0	173	171	744	272	0	2107	0
Mesikammen, Konsta	Lukko	OP	0	0	0	15	21	322	0	0	22	0
Luoto, Joona	Tappara	VH	21	0	0	182	197	675	43	0	527	0
Makinen, Konsta	KalPa	OP	9	0	0	130	125	468	147	0	2368	0
Utunen, Toni	Tappara	VP	0	0	0	13	17	217	0	0	67	0
Lindroos, Alex	JYP	VP	8	0	0	85	72	717	80	0	907	0
Kokkonen, Mikko	Jukurit	OP	5	0	0	43	56	599	122	0	192	0
Makinen, Otto	Tappara	KH	2	0	0	29	28	386	149	0	118	0
Koskenkorva, Jesse	Karpat	KH	1	0	0	18	15	573	10	0	0	0
Ainali, Aleksi	Sport	OH	32	3	0	248	310	927	8590	357	2010	0
Kuru, Hannu	TPS	KH	11	0	1	111	100	798	30	0	3603	25
Tanhua, Samuli	Karpat	VP	2	0	0	10	13	701	15	0	103	0
Sund, Tony	Sport	VP	31	0	0	245	303	1021	2878	0	4253	0
Monkare, Antton	SaiPa	KH	1	0	0	28	34	368	50	0	30	0
Ahoniemi, Niko	Ilves	OH	0	0	0	10	5	676	0	0	0	0
Rantamaki, Jesse	Sport	H	0	0	0	11	21	264	0	0	0	0
Pitkanen, Ilmari	Jukurit	VH	13	0	0	157	207	576	154	0	555	0
Korhonen, Juho	Karpat	VP	0	0	0	8	8	586	71	0	0	0
Vuoti, Santeri	SaiPa	OH	1	0	0	16	30	535	6	0	287	0
Lepaus, Teemu	Ilves	VH	30	0	0	255	170	755	4968	105	10	0
Juhola, Jouka	Assat	VH	3	0	0	299	239	909	8666	217	504	47
Ulander, Elias	HIFK	OP	13	0	0	134	111	661	984	0	100	0
Saarela, Antti	Lukko	KH	0	0	0	0	0	0	0	0	0	0
Lahtinen, Severi	Pelicans	VH	6	0	0	61	65	586	700	64	0	0
Ruotsalainen, Arttu	Ilves	KH	30	0	1	322	305	1042	4850	0	9020	13
Kulmala, Lauri	HIFK	OH	2	0	0	20	19	293	25	0	0	0
Maarnela, Henry	SaiPa	OP	2	0	0	25	31	338	18	0	35	0
Pulli, Juuso	Ilves	VP	34	0	0	301	255	1011	610	0	4780	336
Taimi, Tommi	Assat	OP	20	0	0	133	163	1273	2617	102	2175	86
Haapanen, Topias	Ilves	VH	7	0	0	20	25	933	1082	45	0	0
Korhonen, Olli	KooKoo	VH	6	0	0	72	68	619	197	0	760	0
Toivola, Artturi	Pelicans	KH	7	0	0	91	66	497	645	0	68	0
Mustonen, Matias	JYP	OH	0	0	0	1	3	917	90	0	178	0
Smedberg, Rasmus	Lukko	OH	0	0	0	3	7	70	2	0	0	0
Straka, Anton	JYP	KH	4	0	0	78	79	580	181	0	271	0
Mikkonen, Justus	JYP	VH	0	0	0	2	4	931	135	0	160	0
Jantunen, Jonne	Pelicans	OH	5	0	0	16	19	652	360	0	0	0
Nattinen, Jussi	JYP	KH	0	0	0	34	26	669	326	0	194	0
Hermonen, Julius	Karpat	VH	0	0	0	189	217	642	1353	71	723	0
Mantyla, Henry	Ilves	OP	0	0	0	4	3	209	0	0	0	0
Nordgren, Niklas	HIFK	OH	7	0	0	57	47	710	792	0	0	0
Manelius, Nico	Pelicans	OP	25	0	0	289	273	1008	688	0	7699	74
Friman, Niklas	HPK	VP	31	0	0	335	362	1164	562	0	7353	346
Viinikainen, Olli-Petteri	JYP	OP	0	0	0	3	2	753	0	0	283	0
